ubuntu@ip-xxx-xx-xx-xx:~$ binwalk firmware.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             TP-Link firmware header, firmware version: 0.-15276.3, image version: "", product ID: 0x0, product version: 138477585, kernel load address: 0x0, kernel entry point: 0x80002000, kernel offset: 4063744, kernel length: 512, rootfs offset: 849290, rootfs length: 1048576, bootloader offset: 2883584, bootloader length: 0
995           0x3E3           LZMA compressed data, properties: 0xD8, dictionary size: 0 bytes, uncompressed size: 3590389776 bytes
1059          0x423           LZMA compressed data, properties: 0xC8, dictionary size: 0 bytes, uncompressed size: 3321954320 bytes
1067          0x42B           LZMA compressed data, properties: 0xC6, dictionary size: 0 bytes, uncompressed size: 3288399888 bytes
1091          0x443           LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 3187736592 bytes
1099          0x44B           LZMA compressed data, properties: 0xBE, dictionary size: 0 bytes, uncompressed size: 3154182160 bytes
1123          0x463           LZMA compressed data, properties: 0xB8, dictionary size: 0 bytes, uncompressed size: 3053518864 bytes
1131          0x46B           LZMA compressed data, properties: 0xB6, dictionary size: 0 bytes, uncompressed size: 3019964432 bytes
1139          0x473           LZMA compressed data, properties: 0xB4, dictionary size: 0 bytes, uncompressed size: 2986410000 bytes
1211          0x4BB           LZMA compressed data, properties: 0xA2, dictionary size: 0 bytes, uncompressed size: 2684420112 bytes
1243          0x4DB           LZMA compressed data, properties: 0x9A, dictionary size: 0 bytes, uncompressed size: 2550202384 bytes
1307          0x51B           LZMA compressed data, properties: 0x8A, dictionary size: 0 bytes, uncompressed size: 2281766928 bytes
1315          0x523           LZMA compressed data, properties: 0x88, dictionary size: 0 bytes, uncompressed size: 2248212496 bytes
1355          0x54B           LZMA compressed data, properties: 0x7E, dictionary size: 0 bytes, uncompressed size: 2080440336 bytes
1387          0x56B           LZMA compressed data, properties: 0x76, dictionary size: 0 bytes, uncompressed size: 1946222608 bytes
1419          0x58B           LZMA compressed data, properties: 0x6E, dictionary size: 0 bytes, uncompressed size: 1812004880 bytes
1427          0x593           LZMA compressed data, properties: 0x6C, dictionary size: 0 bytes, uncompressed size: 1778450448 bytes
1451          0x5AB           LZMA compressed data, properties: 0x66, dictionary size: 0 bytes, uncompressed size: 1677787152 bytes
1459          0x5B3           LZMA compressed data, properties: 0x64, dictionary size: 0 bytes, uncompressed size: 1644232720 bytes
1483          0x5CB           LZMA compressed data, properties: 0x5E, dictionary size: 0 bytes, uncompressed size: 1543569424 bytes
1491          0x5D3           LZMA compressed data, properties: 0x5C, dictionary size: 0 bytes, uncompressed size: 1510014992 bytes
1499          0x5DB           LZMA compressed data, properties: 0x5A, dictionary size: 0 bytes, uncompressed size: 1476460560 bytes
4561          0x11D1          LZMA compressed data, properties: 0x65, dictionary size: -536674304 bytes, uncompressed size: 2048 bytes
12777         0x31E9          LZMA compressed data, properties: 0x88, dictionary size: 0 bytes, uncompressed size: 2495348736 bytes
13424         0x3470          U-Boot version string, "U-Boot 1.1.4 (Mar 25 2016 - 16:59:44)"
13472         0x34A0          CRC32 polynomial table, big endian
14784         0x39C0          uImage header, header size: 64 bytes, header CRC: 0x85572A9C, created: 2016-03-25 08:59:46, image size:35924 bytes, Data Address: 0x80010000, Entry Point: 0x80010000, data CRC: 0xADACFD5C, OS: Linux, CPU: MIPS, image type: Firmware Image, compression type: lzma, image name: "u-boot image"
14848         0x3A00          LZMA compressed data, properties: 0x5D, dictionary size: 33554432 bytes, uncompressed size: 93944 bytes
131584        0x20200         TP-Link firmware header, firmware version: 0.0.3, image version: "", product ID: 0x0, product version: 138477585, kernel load address: 0x0, kernel entry point: 0x80002000, kernel offset: 3932160, kernel length: 512, rootfs offset: 849290, rootfs length: 1048576, bootloader offset: 2883584, bootloader length: 0
132096        0x20400         LZMA compressed data, properties: 0x5D, dictionary size: 33554432 bytes, uncompressed size: 2495224 bytes
1180160       0x120200        Squashfs filesystem, little endian, version 4.0, compression:lzma, size: 2776683 bytes, 596 inodes, blocksize: 131072 bytes, created: 2016-03-25 09:24:22


